County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,LAhalfand10
Anoka County,0,2715,967,0,0.0,0.0,0,0,3.31841909023117,100682.0,340.0,673.0,161.0,2592.0,9.0,56.0,1.0,11.0,46.0,31.0,16.0,62.0,0
Anoka County,1,4893,1748,0,1.0,0.020437359493153485,0,0,3.3214709371292996,95697.0,761.0,1365.0,292.0,4227.0,362.0,97.0,1.0,15.0,191.0,233.0,8.0,92.0,1
Anoka County,1,4511,1555,0,18.0,0.3990246065174019,0,0,3.33889816360601,104141.0,1025.0,1265.0,298.0,3929.0,140.0,270.0,3.0,19.0,150.0,81.0,52.0,45.0,1
Anoka County,1,5393,1657,0,16.0,0.2966808826256258,0,0,3.42967244701349,118990.0,426.0,1814.0,288.0,5011.0,104.0,144.0,2.0,7.0,125.0,109.0,0.0,0.0,1
Anoka County,0,5228,1789,0,2.0,0.03825554705432287,0,0,3.51449275362319,102331.0,617.0,1365.0,425.0,4970.0,27.0,126.0,0.0,13.0,92.0,74.0,30.0,41.0,0
Anoka County,1,4730,1840,0,0.0,0.0,0,0,3.8672865595942496,128061.0,528.0,1293.0,369.0,3581.0,227.0,754.0,0.0,8.0,160.0,126.0,19.0,25.0,1
Anoka County,1,6403,2430,0,0.0,0.0,1,0,3.95141451414514,94046.0,877.0,1621.0,687.0,5382.0,386.0,331.0,6.0,33.0,265.0,182.0,103.0,150.0,1
Anoka County,1,6229,2084,0,0.0,0.0,0,0,4.01099789746078,114338.0,585.0,1731.0,637.0,5509.0,224.0,285.0,2.0,21.0,188.0,131.0,19.0,0.0,1
Anoka County,1,3281,1089,0,16.0,0.48765620237732393,0,0,4.06001765225066,114451.0,471.0,950.0,205.0,3019.0,53.0,76.0,0.0,8.0,125.0,101.0,0.0,22.0,1
Anoka County,1,4192,1425,0,3.0,0.0715648854961832,0,0,4.09463148316652,115602.0,395.0,1110.0,533.0,3916.0,15.0,146.0,0.0,14.0,101.0,93.0,27.0,25.0,1
Anoka County,0,3914,1416,0,0.0,0.0,0,0,4.219409282700419,98375.0,612.0,872.0,437.0,3665.0,26.0,139.0,3.0,25.0,56.0,64.0,34.0,60.0,0
Anoka County,0,2934,1014,0,0.0,0.0,0,0,4.41708906589428,78750.0,620.0,910.0,199.0,2836.0,9.0,15.0,0.0,15.0,59.0,25.0,5.0,50.0,0
Anoka County,1,4985,2064,0,2.0,0.04012036108324975,0,1,4.53439504534395,76208.0,901.0,1126.0,723.0,3960.0,443.0,235.0,1.0,38.0,308.0,240.0,96.0,96.0,1
Anoka County,1,5044,1722,0,0.0,0.0,0,0,4.66546112115732,120262.0,554.0,1506.0,302.0,4764.0,53.0,115.0,0.0,12.0,100.0,77.0,64.0,56.0,1
Anoka County,0,5202,1770,0,4.0,0.07689350249903884,0,0,4.68252481738153,98500.0,655.0,1428.0,315.0,5000.0,22.0,73.0,1.0,28.0,78.0,51.0,37.0,34.0,0
Anoka County,1,5425,1402,0,1405.0,25.89861751152074,0,0,4.77483593573207,110156.0,335.0,1249.0,261.0,4670.0,463.0,119.0,4.0,95.0,74.0,164.0,16.0,37.0,1
Anoka County,1,4736,1786,0,4.0,0.08445945945945946,0,1,4.8411497730711,75394.0,758.0,1151.0,590.0,4107.0,252.0,156.0,2.0,32.0,187.0,160.0,9.0,141.0,1
Anoka County,1,5542,2093,0,23.0,0.4150126308191988,1,0,4.89962572303505,94955.0,1217.0,1345.0,739.0,4802.0,241.0,171.0,1.0,60.0,267.0,191.0,203.0,186.0,1
Anoka County,1,2478,1075,0,0.0,0.0,0,0,4.98569677155701,89375.0,378.0,481.0,381.0,2214.0,68.0,91.0,0.0,21.0,84.0,72.0,46.0,72.0,1
Anoka County,1,6426,2248,0,6.0,0.09337068160597572,0,0,4.9993132811427,96413.0,901.0,1700.0,495.0,5594.0,271.0,308.0,1.0,30.0,222.0,153.0,48.0,116.0,1
